"","ID","ref","r.hr","pvalue.hr","r.hn","pvalue.hn","r.unif","pvalue.unif","max_r","ndet","right","best.key","full.r","T","reference","site","Scientific_name","ct_brand","ct_type","Country","ct_height","body_mass","start_year","max_r_site","left","data.family","data.genus","data.order","data.species","LOOCV_predicted_r"
"1","Aardvark Bessone20","Bessone20",4.34007009335113,0.0132953941108618,4.56925298241728,0.000561704703385235,4.18426400013286,0.0118619399782406,9,320,9,"hr",4.34007009335113,"2","Bessone et al. (2020)","Bessone20","Orycteropus afer","Bushnell","119776","DRC",0.8,52.3,2016,12,NA,"Orycteropodidae","Orycteropus","Carnivora","afer",NA
"2","African golden cat Bessone20","Bessone20",6.10631672296754,0.0951944214648508,4.87198368546407,0.0389552425852664,4.85709161295166,0.0773992837499589,6.5,78,12,"hr",6.10631672296754,"2","Bessone et al. (2020)","Bessone20","Caracal aurata","Bushnell","119776","DRC",0.8,10.6,2016,12,NA,"Felidae","Caracal","Carnivora","aurata",NA
"3","Allen's swamp monkey Bessone20","Bessone20",5.64601829809388,2.42808465789057e-06,3.35334826914921,3.9740609276695e-06,4.7678629251596,3.5001981254501e-06,11,969,12,"hn",3.35334826914921,"2","Bessone et al. (2020)","Bessone20","Allenopithecus nigroviridis","Bushnell","119776","DRC",0.8,4.7,2016,12,NA,"Cercopithecidae","Allenopithecus","Primates","nigroviridis",NA
"4","Bonobo Bessone20","Bessone20",5.8331308667312,0.0190615025391134,4.12237598594046,0.0230689191639289,4.29889642678249,0.0218107266146051,11,5255,12,"hn",4.12237598594046,"2","Bessone et al. (2020)","Bessone20","Pan paniscus","Bushnell","119776","DRC",0.8,34,2016,12,NA,"Hominidae","Pan","Primates","paniscus",NA
"5","Brush-tailed porcupine Bessone20","Bessone20",5.13840608804862,0.000280966927351578,4.63283135091223,0.000161481165098176,4.56507930221011,0.00133766980913819,9,1765,12,"unif",4.56507930221011,"2","Bessone et al. (2020)","Bessone20","Atherurus africanus","Bushnell","119776","DRC",0.8,1.9,2016,12,NA,"Hystricidae","Atherurus","Rodentia","africanus",NA
"6","Congo peafowl Bessone20","Bessone20",5.35348358065728,0.000552017230752933,4.60344618894522,0.000654961857695757,5.0341807300307,0.0030465228651575,11,3106,12,"unif",5.0341807300307,"2","Bessone et al. (2020)","Bessone20","Afropavo congensis","Bushnell","119776","DRC",0.8,1.4,2016,12,NA,"Phasianidae","Afropavo","Aves","congensis",NA
"7","Four-toed sengi Bessone20","Bessone20",3.20795205482481,9.35801448352924e-05,1.96776433523321,2.48602941480547e-05,4.56507806197739,0.0367947470660345,4.5,216,12,"unif",4.56507806197739,"2","Bessone et al. (2020)","Bessone20","Petrodromus tetradactylus","Bushnell","119776","DRC",0.8,0.2,2016,12,NA,"Macroscelididae","Petrodromus","Rodentia","tetradactylus",NA
"8","Giant ground pangolin Bessone20","Bessone20",6.40712262302775,0.125612651527098,5.32241164261876,0.0826084618079025,4.71778051872999,0.0480446490833644,9,119,12,"hr",6.40712262302775,"2","Bessone et al. (2020)","Bessone20","Smutsia gigantea","Bushnell","119776","DRC",0.8,33,2016,12,NA,"Manidae","Smutsia","Carnivora","gigantea",NA
"9","Honey badger Bessone20","Bessone20",7.8322594221354,0.0124989138687326,5.66650871959151,0.00606430294326188,6.5436627268755,0.00858156924560405,9,169,12,"hr",7.8322594221354,"2","Bessone et al. (2020)","Bessone20","Mellivora capensis","Bushnell","119776","DRC",0.8,8,2016,12,NA,"Mustelidae","Mellivora","Carnivora","capensis",NA
"10","Sitatunga Bessone20","Bessone20",5.60207020919201,0.00994545230144039,4.06246314266826,0.00801665742460989,3.84397536877661,0.00859667740103953,11,408,12,"hr",5.60207020919201,"2","Bessone et al. (2020)","Bessone20","Tragelaphus spekii","Bushnell","119776","DRC",0.8,78,2016,12,NA,"Bovidae","Tragelaphus","Ungulata","spekii",NA
"11","Water chevrotain Bessone20","Bessone20",4.48270113617665,2.19473064920761e-05,3.92880978879124,1.59893532275523e-05,4.85709089307385,0.0145824346380634,9,1462,12,"unif",4.85709089307385,"2","Bessone et al. (2020)","Bessone20","Hyemoschus aquaticus","Bushnell","119776","DRC",0.8,10.8,2016,12,NA,"Tragulidae","Hyemoschus","Ungulata","aquaticus",NA
"12","Irish hare Caravaggi16","Caravaggi16",4.36354866333151,0.469568755430899,3.97589365537834,0.130655559498818,4.16521923489065,0.0631444873568013,8.79317917479224,435,9,"hr",4.36354866333151,"60","Caravaggi et al. (2016)","Caravaggi16","Lepus timidus","Bushnell","119477","Ireland",0.3,3.10542,2013,9,NA,"Leporidae","Lepus","Rodentia","timidus",NA
"13","White-tailed deer Delisle23","Delisle23",5.98840933668716,0.0257223351220806,6.74713594578942,0.0510682307822795,9.24519812208363,1.47374639314357e-06,15,1118,20,"hn",6.74713594578942,"1.9","Delisle et al. (2023)","Delisle23","Odocoileus virginianus","Browning","Strike Force/5HDE","USA",1,75.90125,2019,20,NA,"Cervidae","Odocoileus","Ungulata","virginianus",NA
"14","Bighorn sheep Harris20","Harris20",NA,NA,4.02326417694123,0.00696770759785736,8.30754456407188,0.140123378801792,20,1271,20,"unif",8.30754456407188,"15","Harris et al. (2020)","Harris20","Ovis canadensis","Bushnell","Trophy Cam","USA",1.05,74.64487,2017,20,NA,"Bovidae","Ovis","Ungulata","canadensis",NA
"15","Roe_deer-summer Henrich22","Henrich22",7.67795491246972,0.29242524927609,7.135954752121,0.534159584113172,6.46073242547522,0.419470477711202,14.66,325,15,"hn",7.135954752121,"contact","Henrich et al. (2022)","Henrich22","Capreolus capreolus","Cuddeback","C2","Germany",0.65,22.50201,2018,15,NA,"Cervidae","Capreolus","Ungulata","capreolus",NA
"16","Roe_deer-autumn Henrich22","Henrich22",7.96305057051972,0.755994625601458,6.28972404025834,0.426736175506546,6.32588843568602,0.422852430677277,14.05,103,15,"hr",7.96305057051972,"contact","Henrich et al. (2022)","Henrich22","Capreolus capreolus","Cuddeback","C2","Germany",0.65,22.50201,2018,15,NA,"Cervidae","Capreolus","Ungulata","capreolus",NA
"17","Roe_deer-spring Henrich22","Henrich22",8.34955944906514,0.98999797397847,6.82391077212382,0.327063144245231,6.83886082618793,0.323379653761935,15,166,15,"hr",8.34955944906514,"contact","Henrich et al. (2022)","Henrich22","Capreolus capreolus","Cuddeback","C3","Germany",0.65,23.50201,2018,15,NA,"Cervidae","Capreolus","Ungulata","capreolus",NA
"18","Red_deer-summer Henrich22","Henrich22",8.9021392196006,0.479568996048157,7.79756393920044,0.37540754726935,7.82857846270239,0.419706711441487,15,963,15,"hr",8.9021392196006,"contact","Henrich et al. (2022)","Henrich22","Cervus elaphus","Cuddeback","C2","Germany",0.65,240.86713,2018,15,NA,"Cervidae","Cervus","Ungulata","elaphus",NA
"19","Red_deer-autumn Henrich22","Henrich22",6.36807870373841,0.122468976142428,7.68350098973922,9.14753469393181e-05,7.43099245850411,0.000912263909098598,15,803,15,"hr",6.36807870373841,"contact","Henrich et al. (2022)","Henrich22","Cervus elaphus","Cuddeback","C2","Germany",0.65,240.86713,2018,15,NA,"Cervidae","Cervus","Ungulata","elaphus",NA
"20","Red_deer-spring Henrich22","Henrich22",10.6687288619436,0.820698487003697,9.77705072597043,0.62383483560954,9.57095057743907,0.590517650533929,15,495,15,"hr",10.6687288619436,"contact","Henrich et al. (2022)","Henrich22","Cervus elaphus","Cuddeback","C2","Germany",0.65,240.86713,2018,15,NA,"Cervidae","Cervus","Ungulata","elaphus",NA
"21","Red_deer-winter Henrich22","Henrich22",5.84694716122125,0.80934107247621,6.98663085429736,0.386487343142943,7.07023216753857,0.36042968794703,14.09,113,15,"hr",5.84694716122125,"contact","Henrich et al. (2022)","Henrich22","Cervus elaphus","Cuddeback","C2","Germany",0.65,240.86713,2018,15,NA,"Cervidae","Cervus","Ungulata","elaphus",NA
"22","Badger S-C Henrich23","Henrich23",6.54395547333349,0.00289060903696614,5.97430774820318,0.00107833006061742,5.45161895275701,0.000190958574321165,11,495,12,"hr",6.54395547333349,"2","Henrich et al. (2023)","Schorfheide-Chorin","Meles meles","Bushnell","119876","Germany",0.65,11.88403,2018,15,NA,"Mustelidae","Meles","Carnivora","meles",NA
