"","ID","ref","theta.hr","pvalue.hr","theta.hn","pvalue.hn","theta.unif","pvalue.unif","max_theta","ndet","best.key","full.theta","T","reference","site","Scientific_name","ct_brand","ct_type","Country","ct_height","body_mass","start_year","max_theta_site","capture_events","data.family","data.genus","data.order","data.species","LOOCV_predicted_theta"
"1","Irish hare Caravaggi16","Caravaggi16",0.608906504185461,0.922505813727365,0.507001315274526,0.019745299438402,0.524436708941926,0.0604513443568974,1.37340076694502,431,"hr",0.608906504185461,"60","Caravaggi et al. (2016)","Caravaggi16","Lepus timidus","Bushnell","119477","Ireland",0.3,3.10542,2013,1.37340076694502,NA,"Leporidae","Lepus","Rodentia","timidus",NA
"2","White-tailed deer Delisle23","Delisle23",0.958319436311969,5.51946213700472e-05,0.959931082995524,5.30652400686504e-05,0.780758052285529,1.26741485185766e-05,0.959931088596881,934,"hr",0.958319436311969,"1.9","Delisle et al. (2023)","Delisle23","Odocoileus virginianus","Browning","Strike Force/5HDE","USA",1,75.90125,2019,0.959931088596881,NA,"Cervidae","Odocoileus","Ungulata","virginianus",NA
"3","Hedgehog Mixed Lee25","Lee25",0.383907587260149,0.0989456651772225,0.344617847539213,0.121112211442023,0.337573511388441,0.111283279611495,0.436332312998582,340,"hn",0.344617847539213,"300","Lee et al. (2025)","Mixed","Erinaceus europaeus","Bushnell","119837","UK",0.3,0.77795,2018,0.436332312998582,NA,"Erinaceidae","Erinaceus","Rodentia","europaeus",NA
"4","Hedgehog Arable Lee25","Lee25",0.348479794869702,0.000464131512479149,NA,NA,0.349065850398866,0.000524982321455481,0.349065850398866,113,"unif",0.349065850398866,"300","Lee et al. (2025)","Arable","Erinaceus europaeus","Bushnell","119837","UK",0.3,0.77795,2018,0.349065850398866,NA,"Erinaceidae","Erinaceus","Rodentia","europaeus",NA
"5","Hedgehog Pasture Lee25","Lee25",0.348479794869705,0.130867225404021,0.349065849775858,0.138485258066084,0.349065850398866,0.138485260743943,0.349065850398866,114,"unif",0.349065850398866,"300","Lee et al. (2025)","Pasture","Erinaceus europaeus","Bushnell","119837","UK",0.3,0.77795,2018,0.349065850398866,NA,"Erinaceidae","Erinaceus","Rodentia","europaeus",NA
"6","Brown hyena_McKaughan_survey1 McKaughan2023","McKaughan2023",0.898488967516852,3.40486745842306e-06,0.856493675918128,1.11748895892383e-06,0.799637620724634,6.76147498768209e-07,0.9,684,"hr",0.898488967516852,"0.5","McKaughan, Stephens & Hill (2023)","McKaughan_survey1 ","Hyaena brunnea","Browning","Strike Force HD Pro","South Africa",0.7,42.97793,2019,0.9,NA,"Hyaenidae","Hyaena","Carnivora","brunnea",NA
"7","African civet_McKaughan_survey1 McKaughan2023","McKaughan2023",0.79496117740075,8.76489274270753e-07,0.76722124770962,9.84048569852014e-07,0.761834988267504,1.45573402077215e-06,0.9,565,"unif",0.761834988267504,"0.5","McKaughan, Stephens & Hill (2023)","McKaughan_survey1 ","Civettictis civetta","Browning","Strike Force HD Pro","South Africa",0.7,12.07558,2019,0.9,NA,"Viverridae","Civettictis","Carnivora","civetta",NA
"8","Black-backed jackal_McKaughan_survey1 McKaughan2023","McKaughan2023",0.659172365441053,0.0106111893547444,0.641632618977127,0.0111194688296424,0.633628103984208,0.0108281445893817,0.9,2491,"hn",0.641632618977127,"0.5","McKaughan, Stephens & Hill (2023)","McKaughan_survey1 ","Canis mesomelas","Browning","Strike Force HD Pro","South Africa",0.7,8.2473,2019,0.9,NA,"Canidae","Canis","Carnivora","mesomelas",NA
"9","Caracal_McKaughan_survey1 McKaughan2023","McKaughan2023",0.573792110382596,0.0662199013983824,0.741245798925285,0.0562254493419339,0.683876253285389,0.0711690996903011,0.9,60,"unif",0.683876253285389,"0.5","McKaughan, Stephens & Hill (2023)","McKaughan_survey2","Caracal caracal","Browning","Strike Force HD Pro","South Africa",0.7,11.96438,2019,0.9,NA,"Felidae","Caracal","Carnivora","caracal",NA
"10","Leopard_McKaughan_survey1 McKaughan2023","McKaughan2023",0.898488967516854,0.000206771495501967,0.899999865683703,0.000224407944117044,0.9,0.000224408779656682,0.9,117,"unif",0.9,"0.5","McKaughan, Stephens & Hill (2023)","McKaughan_survey1 ","Panthera pardus","Browning","Strike Force HD Pro","South Africa",0.7,52.39999,2019,0.9,NA,"Felidae","Panthera","Carnivora","pardus",NA
"11","Brown hyena_McKaughan_survey2 McKaughan2023","McKaughan2023",0.898488967516888,1.99120711529277e-05,0.899999995384257,2.01560157095937e-05,0.9,2.01560152314206e-05,0.9,286,"hn",0.899999995384257,"0.5","McKaughan, Stephens & Hill (2023)","McKaughan_survey1 ","Hyaena brunnea","Browning","Strike Force HD Pro","South Africa",0.7,42.97793,2019,0.9,NA,"Hyaenidae","Hyaena","Carnivora","brunnea",NA
"12","African civet_McKaughan_survey2 McKaughan2023","McKaughan2023",0.898488967516926,0.00294519446734809,0.899999995271914,0.002992005336523,0.9,0.0029920054266116,0.9,58,"unif",0.9,"0.5","McKaughan, Stephens & Hill (2023)","McKaughan_survey2","Civettictis civetta","Browning","Strike Force HD Pro","South Africa",0.7,12.07558,2019,0.9,NA,"Viverridae","Civettictis","Carnivora","civetta",NA
"13","Black-backed jackal_McKaughan_survey2 McKaughan2023","McKaughan2023",0.613043643049,6.40393104406334e-05,0.752218170345213,0.000227156679878937,0.609894217665465,4.92203076585263e-05,0.9,862,"hn",0.752218170345213,"0.5","McKaughan, Stephens & Hill (2023)","McKaughan_survey2","Canis mesomelas","Browning","Strike Force HD Pro","South Africa",0.7,8.2473,2019,0.9,NA,"Canidae","Canis","Carnivora","mesomelas",NA
"14","Badger Miles24","Miles24",0.90334048250868,0.84773432281748,0.781813843093792,0.348863692185339,0.841328617338785,0.484144169753586,1.243006182,61,"hr",0.90334048250868,"contact","Miles et al. (2024)","SiteABCDEF","Meles meles","Browning","Strike Force HD Pro","UK",0.35,11.88403,2019,1.243006182,NA,"Mustelidae","Meles","Carnivora","meles",NA
